"operator","enbId_rncId","cellId","frequency","trueServingCoverageArea_latitude","trueServingCoverageArea_longitude","normalizedServingCoverageArea_latitude","normalizedServingCoverageArea_longitude","fullActivityCoverage_latitude","fullActivityCoverage_longitude","bts_latitude","bts_longitude","altitude_altitude","Neighbor_Cell_0_latitude","Neighbor_Cell_0_longitude","Neighbor_Cell_1_latitude","Neighbor_Cell_1_longitude","Neighbor_Cell_2_latitude","Neighbor_Cell_2_longitude","ID"
"MegaCom Ltd",35491,11,"6400",52.3762512207,4.8948097229,52.3762512207,4.8948097229,52.3764839172,4.89451646805,"NULL","NULL","56","52.3768424988","4.89563465118","52.3782310486","4.89429664612","52.3769493103","4.8947019577",36
"MegaCom Ltd",19191,32,"1300",52.3093757629,4.80787086487,52.3093757629,4.80787086487,52.3104743958,4.81168460846,"52.3106231689","4.80889177322","45","52.3072471619","4.80758285522","52.3063278198","4.78654766083","52.3105430603","4.81075668335",37
"MegaCom Ltd",35461,13,"6400",52.3768768311,4.88028812408,52.3768768311,4.88028812408,52.3769683838,4.87978982925,"52.3774986267","4.88028812408","49","52.3763237","4.87834453583","52.376083374","4.87864732742","52.3758773804","4.88054180145",38
"MegaCom Ltd",36551,13,"6400",52.3612518311,4.93739748001,52.3612518311,4.93739748001,52.3617782593,4.93849134445,"52.3606262207","4.94250011444","62","52.3623886108","4.93798351288","52.3626823425","4.93664073944","52.3576164246","4.93252944946",39
"MegaCom Ltd",73331,11,"6400",52.40625,4.89520978928,52.40625,4.89520978928,52.4053497314,4.89544916153,"52.4043731689","4.89418935776","48","52.4116592407","4.89157247543","52.4037094116","4.89652824402","52.4049568176","4.90177249908",40
"MegaCom Ltd",16161,11,"6400",52.4056243896,4.87532711029,52.4056243896,4.87532711029,52.4038619995,4.87078142166,"NULL","NULL","53","52.403263092","4.86880874634","52.4041862488","4.86626958847","52.4080162048","4.86834001541",41
"MegaCom Ltd",24991,13,"6400",52.390625,4.94266605377,52.390625,4.94266605377,52.3914680481,4.94432640076,"NULL","NULL","37","52.391456604","4.94511222839","NULL","NULL","NULL","NULL",42
"MegaCom Ltd",73481,13,"6400",52.3737487793,4.92567396164,52.3737487793,4.92567396164,52.3730430603,4.92624998093,"NULL","NULL","62","52.3733596802","4.92604970932","52.3711585999","4.92630386353","52.3757553101","4.92746591568",43
"MegaCom Ltd",24941,12,"6400",52.3687515259,4.86405754089,52.3687515259,4.86405754089,52.3692512512,4.86385250092,"52.3699989319","4.86405754089","41","52.37059021","4.86237812042","52.3697547913","4.86488771439","52.3709869385","4.86168956757",44
"MegaCom Ltd",16491,12,"6400",52.3556251526,4.88048839569,52.3556251526,4.88048839569,52.3558120728,4.8811378479,"52.3568763733","4.88048839569","44","52.3551712036","4.88295888901","52.3604354858","4.87660646439","52.355091095","4.88245582581",45
"MegaCom Ltd",22611,13,"6400",52.3406257629,4.89317893982,52.3406257629,4.89317893982,52.338809967,4.89347648621,"52.3381233215","4.89317893982","52","52.3408050537","4.89476060867","52.3384819031","4.89180660248","52.3376960754","4.89125013351",46
"MegaCom Ltd",54491,32,"1300",52.3143768311,4.94220209122,52.3143768311,4.94220209122,52.3143768311,4.9421582222,"52.3143768311","4.94220209122","64","NULL","NULL","NULL","NULL","NULL","NULL",47
"MegaCom Ltd",54621,32,"1300",52.3149986267,4.94262218475,52.3149986267,4.94262218475,52.3147544861,4.94161128998,"52.3149986267","4.94262218475","87","NULL","NULL","NULL","NULL","NULL","NULL",48
"MegaCom Ltd",54721,32,"1300",52.3143768311,4.9419093132,52.3143768311,4.9419093132,52.3143692017,4.94205570221,"NULL","NULL","117","NULL","NULL","NULL","NULL","NULL","NULL",49
